No,Topic,Quantity,
1,music ,1713,
2,eating and drinking ,665,
3,real property ,528,
4,football ,3321,
5,stock ,702,
6,bird flu - influenza ,891,
7,the life in the world ,1134,
8,studying abroad ,1076,
9,tourist ,1147,
10,WTO ,399,
11,family ,493,
12,computer entertainment ,1532,
13,education ,1528,
14,sex ,611,
15,hackers and viruses ,674,
16,criminal ,351,
17,life space ,192,
18,international business ,1130,
19,Beauty ,1511,
20,lifestyle ,437,
21,shopping ,271,
22,fine arts ,337,
23,stage and screen ,2147,
24,new computer products ,1365,
25,tennis ,871,
26,young world ,711,
27,fashion ,714,
28,politics-society ,12786,
29,life ,4195,
30,science & technology ,3916,
31,business ,7828,
32,health ,8801,
33,law ,7656,
34,world news ,9614,
35,sports ,11965,
36,culture ,9330,
37,informatics ,7041,
,,,
,Summary ,109583,
,,,